,match_id,team,player,minute,second,type,location,shot_end_location,shot_body_part,shot_outcome,shot_statsbomb_xg,start_x,start_y,end_x,end_y,season
0,19770,Arsenal WFC,Bethany Mead,9,49,Shot,"[102.0, 26.0]","[120.0, 46.5, 0.3]",Right Foot,Off T,0.044869356,102.0,26.0,120.0,46.5,1
1,19770,Arsenal WFC,Katie McCabe,25,9,Shot,"[105.0, 25.0]","[119.0, 35.8, 1.9]",Left Foot,Post,0.03192172,105.0,25.0,119.0,35.8,1
2,19770,Arsenal WFC,Bethany Mead,35,4,Shot,"[83.0, 28.0]","[119.0, 38.5, 1.8]",Right Foot,Saved,0.015278868,83.0,28.0,119.0,38.5,1
3,19770,Arsenal WFC,Danielle van de Donk,35,41,Shot,"[88.0, 40.0]","[119.0, 41.9, 0.7]",Left Foot,Saved,0.015258076,88.0,40.0,119.0,41.9,1
4,19770,Arsenal WFC,Paige Bailey Gayle,37,9,Shot,"[90.0, 50.0]","[120.0, 34.4, 0.4]",Right Foot,Off T,0.017230032,90.0,50.0,120.0,34.4,1
5,19770,Arsenal WFC,Bethany Mead,39,37,Shot,"[111.0, 25.0]","[118.0, 42.6, 1.6]",Left Foot,Saved,0.036749862,111.0,25.0,118.0,42.6,1
6,19770,Arsenal WFC,Dominique Johanna Anna Petrone Janssen,44,35,Shot,"[95.0, 51.0]","[120.0, 39.9, 3.9]",Right Foot,Off T,0.08109157,95.0,51.0,120.0,39.9,1
7,19770,Arsenal WFC,Vivianne Miedema,47,29,Shot,"[105.0, 42.0]","[120.0, 33.9, 1.6]",Left Foot,Off T,0.06995732,105.0,42.0,120.0,33.9,1
8,19770,Arsenal WFC,Paige Bailey Gayle,53,29,Shot,"[111.0, 55.0]","[120.0, 46.0, 3.5]",Right Foot,Off T,0.027534662,111.0,55.0,120.0,46.0,1
9,19770,Arsenal WFC,Katie McCabe,57,1,Shot,"[103.0, 38.0]","[109.0, 39.0]",Left Foot,Blocked,0.06314638,103.0,38.0,109.0,39.0,1
10,19770,Arsenal WFC,Danielle van de Donk,62,39,Shot,"[97.0, 43.0]","[120.0, 46.0, 2.4]",Right Foot,Off T,0.086928144,97.0,43.0,120.0,46.0,1
