,match_id,team,player,minute,second,type,location,shot_end_location,shot_body_part,shot_outcome,shot_statsbomb_xg,start_x,start_y,end_x,end_y,season
3901,19778,Birmingham City WFC,Lucy Staniforth,19,7,Shot,"[68.0, 39.0]","[118.0, 43.4, 2.0]",Right Foot,Saved,0.013619029,68.0,39.0,118.0,43.4,1
3902,19778,Birmingham City WFC,Lucy Staniforth,27,35,Shot,"[113.0, 18.0]","[116.0, 78.0]",Right Foot,Wayward,0.031032158,113.0,18.0,116.0,78.0,1
3903,19778,Birmingham City WFC,Lucy Staniforth,44,15,Shot,"[97.0, 17.0]","[120.0, 41.1, 5.5]",Right Foot,Off T,0.045493238,97.0,17.0,120.0,41.1,1
3904,19778,Birmingham City WFC,Lucy Quinn,51,48,Shot,"[113.0, 46.0]","[119.0, 35.0, 2.4]",Left Foot,Off T,0.046397664,113.0,46.0,119.0,35.0,1
3905,19778,Birmingham City WFC,Lucy Staniforth,55,0,Shot,"[92.0, 28.0]","[118.0, 36.8, 1.2]",Right Foot,Saved,0.016894905,92.0,28.0,118.0,36.8,1
3911,19778,Birmingham City WFC,Lucy Staniforth,66,37,Shot,"[88.0, 44.0]","[119.0, 45.0, 2.4]",Right Foot,Off T,0.016655384,88.0,44.0,119.0,45.0,1
3912,19778,Birmingham City WFC,Meaghan Sargeant,70,11,Shot,"[110.0, 34.0]","[118.0, 39.9, 1.4]",Head,Saved,0.03325787,110.0,34.0,118.0,39.9,1
3913,19778,Birmingham City WFC,Lucy Staniforth,78,32,Shot,"[94.0, 29.0]","[97.0, 30.0]",Right Foot,Blocked,0.019868253,94.0,29.0,97.0,30.0,1
3914,19778,Birmingham City WFC,Lucy Staniforth,80,7,Shot,"[90.0, 24.0]","[119.0, 40.1, 2.8]",Right Foot,Post,0.02665534,90.0,24.0,119.0,40.1,1
3915,19778,Birmingham City WFC,Meaghan Sargeant,80,24,Shot,"[98.0, 40.0]","[105.0, 43.0]",Right Foot,Blocked,0.030578006,98.0,40.0,105.0,43.0,1
3916,19778,Birmingham City WFC,Lucy Quinn,82,30,Shot,"[92.0, 46.0]","[119.0, 37.0, 1.6]",Left Foot,Saved,0.033554927,92.0,46.0,119.0,37.0,1
3917,19778,Birmingham City WFC,Hayley Ladd,84,0,Shot,"[91.0, 27.0]","[120.0, 46.3, 4.3]",Right Foot,Off T,0.011588805,91.0,27.0,120.0,46.3,1
3919,19778,Birmingham City WFC,Connie Scofield,93,2,Shot,"[99.0, 53.0]","[101.0, 50.0]",Right Foot,Blocked,0.019301012,99.0,53.0,101.0,50.0,1
3920,19778,Birmingham City WFC,Charlie Wellings,93,7,Shot,"[100.0, 44.0]","[119.0, 41.9, 1.0]",Right Foot,Saved,0.060603105,100.0,44.0,119.0,41.9,1
3741,19733,Birmingham City WFC,Emma Follis,4,20,Shot,"[103.0, 55.0]","[119.0, 42.8, 0.2]",Right Foot,Saved,0.035536993,103.0,55.0,119.0,42.8,1
3744,19733,Birmingham City WFC,Chloe Arthur,17,24,Shot,"[91.0, 39.0]","[120.0, 35.2, 2.9]",Left Foot,Off T,0.031297415,91.0,39.0,120.0,35.2,1
3745,19733,Birmingham City WFC,Lucy Staniforth,18,46,Shot,"[113.0, 42.0]","[116.0, 40.0]",Right Foot,Wayward,0.2846494,113.0,42.0,116.0,40.0,1
3746,19733,Birmingham City WFC,Hayley Ladd,23,14,Shot,"[102.0, 40.0]","[120.0, 33.3, 1.3]",Right Foot,Off T,0.0811023,102.0,40.0,120.0,33.3,1
3749,19733,Birmingham City WFC,Emma Follis,33,58,Shot,"[101.0, 58.0]","[120.0, 43.2, 1.3]",Right Foot,Saved,0.015413678,101.0,58.0,120.0,43.2,1
3753,19733,Birmingham City WFC,Meaghan Sargeant,48,22,Shot,"[114.0, 44.0]","[119.0, 36.2, 0.7]",Head,Goal,0.11550733,114.0,44.0,119.0,36.2,1
3755,19733,Birmingham City WFC,Lucy Staniforth,58,26,Shot,"[100.0, 32.0]","[103.0, 40.5, 0.9]",Right Foot,Saved,0.4237227,100.0,32.0,103.0,40.5,1
3761,19733,Birmingham City WFC,Hayley Ladd,73,43,Shot,"[94.0, 15.0]","[120.0, 37.2, 1.5]",Right Foot,Saved,0.019932806,94.0,15.0,120.0,37.2,1
