,match_id,team,player,minute,second,type,location,shot_end_location,shot_body_part,shot_outcome,shot_statsbomb_xg,start_x,start_y,end_x,end_y,season
0,7298,Chelsea FCW,Francesca Kirby,0,47,Shot,"[115.0, 25.0]","[117.0, 34.0]",Right Foot,Blocked,0.096449256,115.0,25.0,117.0,34.0,1
1,7298,Chelsea FCW,Francesca Kirby,5,12,Shot,"[109.0, 51.0]","[112.0, 44.0]",Left Foot,Blocked,0.031185396,109.0,51.0,112.0,44.0,1
2,7298,Chelsea FCW,So-Yun Ji,5,41,Shot,"[99.0, 52.0]","[108.0, 51.0]",Right Foot,Blocked,0.014543258,99.0,52.0,108.0,51.0,1
3,7298,Chelsea FCW,Drew Spence,5,43,Shot,"[107.0, 40.0]","[112.0, 37.0]",Right Foot,Blocked,0.13793232,107.0,40.0,112.0,37.0,1
4,7298,Chelsea FCW,Millie Bright,5,46,Shot,"[108.0, 32.0]","[120.0, 43.2, 2.0]",Left Foot,Goal,0.06627829,108.0,32.0,120.0,43.2,1
5,7298,Chelsea FCW,Francesca Kirby,17,44,Shot,"[108.0, 32.0]","[110.0, 34.0]",Right Foot,Blocked,0.14268541,108.0,32.0,110.0,34.0,1
6,7298,Chelsea FCW,Maren Nævdal Mjelde,21,47,Shot,"[87.0, 41.0]","[120.0, 46.5, 2.7]",Right Foot,Off T,0.013309271,87.0,41.0,120.0,46.5,1
7,7298,Chelsea FCW,So-Yun Ji,23,21,Shot,"[108.0, 36.0]","[120.0, 43.6, 1.0]",Left Foot,Goal,0.17090812,108.0,36.0,120.0,43.6,1
8,7298,Chelsea FCW,Francesca Kirby,24,41,Shot,"[105.0, 43.0]","[118.0, 38.0, 1.3]",Right Foot,Saved,0.14646108,105.0,43.0,118.0,38.0,1
9,7298,Chelsea FCW,Francesca Kirby,32,28,Shot,"[112.0, 39.0]","[114.0, 38.0]",Left Foot,Blocked,0.1937569,112.0,39.0,114.0,38.0,1
10,7298,Chelsea FCW,Ramona Bachmann,39,7,Shot,"[115.0, 54.0]","[118.0, 39.1, 1.5]",Right Foot,Saved,0.024449918,115.0,54.0,118.0,39.1,1
11,7298,Chelsea FCW,So-Yun Ji,39,10,Shot,"[102.0, 34.0]","[113.0, 38.0]",Right Foot,Blocked,0.087980606,102.0,34.0,113.0,38.0,1
12,7298,Chelsea FCW,Francesca Kirby,42,1,Shot,"[108.0, 47.0]","[120.0, 34.6, 1.2]",Left Foot,Off T,0.11768425,108.0,47.0,120.0,34.6,1
13,7298,Chelsea FCW,Drew Spence,45,20,Shot,"[94.0, 54.0]","[120.0, 43.2, 4.1]",Right Foot,Off T,0.019377397,94.0,54.0,120.0,43.2,1
14,7298,Chelsea FCW,Ramona Bachmann,47,58,Shot,"[108.0, 27.0]","[110.0, 27.0]",Right Foot,Blocked,0.043667667,108.0,27.0,110.0,27.0,1
15,7298,Chelsea FCW,Ramona Bachmann,47,59,Shot,"[114.0, 34.0]","[119.0, 40.9, 1.3]",Left Foot,Saved,0.30028152,114.0,34.0,119.0,40.9,1
16,7298,Chelsea FCW,Francesca Kirby,49,37,Shot,"[109.0, 39.0]","[110.0, 39.0]",Right Foot,Blocked,0.0892297,109.0,39.0,110.0,39.0,1
17,7298,Chelsea FCW,Ramona Bachmann,53,59,Shot,"[117.0, 31.0]","[115.0, 48.9, 2.6]",Left Foot,Off T,0.16878863,117.0,31.0,115.0,48.9,1
18,7298,Chelsea FCW,Ramona Bachmann,63,12,Shot,"[91.0, 52.0]","[119.0, 43.8, 0.7]",Right Foot,Saved,0.046832208,91.0,52.0,119.0,43.8,1
19,7298,Chelsea FCW,Millie Bright,67,48,Shot,"[118.0, 39.0]","[120.0, 46.0, 2.7]",Head,Off T,0.16656718,118.0,39.0,120.0,46.0,1
20,7298,Chelsea FCW,Crystal Alyssia Dunn Soubrier,70,55,Shot,"[111.0, 32.0]","[120.0, 40.7, 4.8]",Left Foot,Off T,0.12873672,111.0,32.0,120.0,40.7,1
21,7298,Chelsea FCW,Erin Cuthbert,84,25,Shot,"[107.0, 47.0]","[119.0, 42.0, 1.6]",Right Foot,Saved,0.17372908,107.0,47.0,119.0,42.0,1
22,7298,Chelsea FCW,Crystal Alyssia Dunn Soubrier,84,27,Shot,"[110.0, 36.0]","[120.0, 34.8, 0.9]",Right Foot,Off T,0.23640409,110.0,36.0,120.0,34.8,1
23,7298,Chelsea FCW,Ramona Bachmann,87,50,Shot,"[113.0, 42.0]","[117.0, 41.0]",Left Foot,Blocked,0.20671295,113.0,42.0,117.0,41.0,1
24,7298,Chelsea FCW,Erin Cuthbert,87,54,Shot,"[109.0, 52.0]","[116.0, 45.0]",Right Foot,Blocked,0.09623584,109.0,52.0,116.0,45.0,1
25,19714,Chelsea FCW,Ramona Bachmann,4,51,Shot,"[110.0, 49.0]","[113.0, 46.0]",Head,Blocked,0.05796788,110.0,49.0,113.0,46.0,1
26,19714,Chelsea FCW,Bethany England,5,56,Shot,"[106.0, 53.0]","[119.0, 34.6, 0.8]",Right Foot,Off T,0.09034793,106.0,53.0,119.0,34.6,1
27,19714,Chelsea FCW,Bethany England,22,11,Shot,"[100.0, 57.0]","[118.0, 43.0, 2.3]",Left Foot,Saved,0.021233583,100.0,57.0,118.0,43.0,1
28,19714,Chelsea FCW,Karen Julia Carney,33,29,Shot,"[93.0, 33.0]","[120.0, 40.9, 3.8]",Right Foot,Off T,0.05249112,93.0,33.0,120.0,40.9,1
29,19714,Chelsea FCW,Maren Nævdal Mjelde,35,56,Shot,"[96.0, 30.0]","[118.0, 36.2, 0.5]",Right Foot,Saved,0.03859789,96.0,30.0,118.0,36.2,1
30,19714,Chelsea FCW,Karen Julia Carney,39,15,Shot,"[110.0, 22.0]","[119.0, 45.0, 3.8]",Right Foot,Off T,0.027791254,110.0,22.0,119.0,45.0,1
