,match_id,team,player,minute,second,type,location,shot_end_location,shot_body_part,shot_outcome,shot_statsbomb_xg,start_x,start_y,end_x,end_y,season
0,7298,Manchester City WFC,Nikita Parris,26,22,Shot,"[117.0, 53.0]","[117.0, 36.8, 1.3]",Right Foot,Saved,0.056454994,117.0,53.0,117.0,36.8,1
1,7298,Manchester City WFC,Jill Scott,26,32,Shot,"[102.0, 50.0]","[111.0, 43.0]",Right Foot,Blocked,0.08011432,102.0,50.0,111.0,43.0,1
2,7298,Manchester City WFC,Nikita Parris,48,41,Shot,"[115.0, 41.0]","[120.0, 40.7, 2.1]",Head,Goal,0.30401975,115.0,41.0,120.0,40.7,1
3,7298,Manchester City WFC,Jennifer Patricia Beattie,70,7,Shot,"[108.0, 35.0]","[109.0, 22.0]",Head,Wayward,0.021521527,108.0,35.0,109.0,22.0,1
4,7298,Manchester City WFC,Georgia Stanway,74,46,Shot,"[88.0, 34.0]","[119.0, 40.1, 1.3]",Right Foot,Saved,0.01693466,88.0,34.0,119.0,40.1,1
5,7298,Manchester City WFC,Nikita Parris,76,51,Shot,"[113.0, 42.0]","[120.0, 34.6, 0.2]",Left Foot,Off T,0.45547786,113.0,42.0,120.0,34.6,1
6,7298,Manchester City WFC,Georgia Stanway,85,34,Shot,"[98.0, 46.0]","[120.0, 43.8, 2.2]",Right Foot,Goal,0.056108568,98.0,46.0,120.0,43.8,1
7,7298,Manchester City WFC,Georgia Stanway,89,21,Shot,"[102.0, 35.0]","[119.0, 37.8, 0.6]",Left Foot,Saved,0.049883436,102.0,35.0,119.0,37.8,1
8,7298,Manchester City WFC,Jennifer Patricia Beattie,91,7,Shot,"[109.0, 37.0]","[120.0, 34.2, 1.2]",Head,Off T,0.017561773,109.0,37.0,120.0,34.2,1
9,19778,Manchester City WFC,Nikita Parris,3,23,Shot,"[109.0, 31.0]","[113.0, 41.1, 0.2]",Left Foot,Saved,0.17516522,109.0,31.0,113.0,41.1,1
10,19778,Manchester City WFC,Georgia Stanway,11,49,Shot,"[117.0, 30.0]","[120.0, 44.0, 0.2]",Right Foot,Goal,0.26235902,117.0,30.0,120.0,44.0,1
11,19778,Manchester City WFC,Abbie McManus,58,25,Shot,"[112.0, 34.0]","[120.0, 40.3, 2.1]",Right Foot,Saved,0.09172299,112.0,34.0,120.0,40.3,1
12,19778,Manchester City WFC,Keira Walsh,58,31,Shot,"[94.0, 51.0]","[120.0, 42.0, 3.5]",Right Foot,Off T,0.010831285,94.0,51.0,120.0,42.0,1
13,19778,Manchester City WFC,Claire Emslie,59,34,Shot,"[103.0, 28.0]","[107.0, 31.0]",Right Foot,Blocked,0.032790285,103.0,28.0,107.0,31.0,1
14,19778,Manchester City WFC,Georgia Stanway,60,30,Shot,"[105.0, 62.0]","[120.0, 33.9, 2.2]",Right Foot,Off T,0.0201343,105.0,62.0,120.0,33.9,1
15,19778,Manchester City WFC,Georgia Stanway,65,29,Shot,"[111.0, 61.0]","[120.0, 44.2, 3.5]",Right Foot,Off T,0.022923212,111.0,61.0,120.0,44.2,1
16,19778,Manchester City WFC,Janine Elizabeth Beckie,85,22,Shot,"[99.0, 36.0]","[101.0, 37.0]",Right Foot,Blocked,0.027695278,99.0,36.0,101.0,37.0,1
17,19739,Manchester City WFC,Georgia Stanway,5,54,Shot,"[104.0, 55.0]","[105.0, 42.0, 2.0]",Right Foot,Saved,0.3949509,104.0,55.0,105.0,42.0,1
18,19739,Manchester City WFC,Nikita Parris,11,11,Shot,"[112.0, 47.0]","[114.0, 42.6, 1.0]",Right Foot,Saved,0.34141454,112.0,47.0,114.0,42.6,1
19,19739,Manchester City WFC,Jill Scott,12,47,Shot,"[105.0, 39.0]","[119.0, 40.3, 4.1]",Head,Off T,0.025084483,105.0,39.0,119.0,40.3,1
